"column_name","value","description"
"administration_dose_form","additive (unspecified)","A type of pharmaceutical dose form that may be liquid, semi-solid or solid, to be added to a large volume of diluent, such as in a bath."
"administration_dose_form","block","A type of solid pharmaceutical dose form consisting of a large, compact mass, usually formed by compression of the component material into a cuboid or similar shape."
"administration_dose_form","cachet","A type of solid pharmaceutical dose form consisting of a disc inside which a single dose of the active substance(s) is enclosed. Capsule is excluded."
"administration_dose_form","capsule","A type of solid pharmaceutical dose form consisting of a shell inside which a single dose of the active substance(s) is enclosed. Cachet is excluded."
"administration_dose_form","cement","A type of semi-solid pharmaceutical dose form that hardens after application to form a seal or bond."
"administration_dose_form","collodion","A type of liquid pharmaceutical dose form usually consisting of a solution of pyroxylin in ether and ethanol."
"administration_dose_form","concentrate","A type of liquid pharmaceutical dose form consisting of a concentrated preparation that must be diluted before administration."
"administration_dose_form","cream","A type of semi-solid pharmaceutical dose form consisting of an oil-in-water or waterin-oil emulsion"
"administration_dose_form","dispersion","A type of liquid pharmaceutical dose form consisting of one or more substances, excluding solid particles and large liquid droplets, that are dispersed in an appropriate liquid vehicle. Liposomes, microbubbles, cells and colloidal dispersions (droplets with a nominal diameter less than approximately 1 micrometre in size) are included; for solid particle dispersions, see 'Suspension'; for non-miscible, large-droplet liquid dispersions, see 'Emulsion'."
"administration_dose_form","drops (unspecified)","A type of liquid pharmaceutical dose form that may be a dispersion, an emulsion, a solution or a suspension, and that is administered in small volumes by instillation; to be used only when further details of the specific form (e.g. dispersion, emulsion, solution, suspension) are unknown."
"administration_dose_form","emulsion","A type of liquid pharmaceutical dose form consisting of a stable dispersion of nonmiscible liquids; it consists either of oil droplets in an aqueous continuous phase (oil-inwater emulsion) or aqueous droplets in an oily continuous phase (water-in-oil emulsion); for colloidal dispersions (droplets with a nominal diameter less than approximately 1 micrometre in size), see 'Dispersion'."
"administration_dose_form","film","A type of solid pharmaceutical dose form consisting of a thin, single- or multilayer sheet of material, which usually dissolves or otherwise dissipates in an aqueous environment."
"administration_dose_form","foam","A type of semi-solid pharmaceutical dose form consisting of a large volume of gas dispersed in a liquid or sometimes a solid phase."
"administration_dose_form","gel","A type of semi-solid pharmaceutical dose form consisting of a colloidal dispersion of a liquid in a solid; lipophilic gels (oleogels) usually consist of liquid paraffin with polyethylene or fatty oils gelled with colloidal silica or aluminium or zinc soaps; hydrophilic gels (hydrogels) usually consists of water, glycerol or propylene glycol gelled with suitable gelling agents such as poloxamers, starch, cellulose derivatives, carbomers and magnesium-aluminium silicates."
"administration_dose_form","granules","A type of solid pharmaceutical dose form consisting of dry aggregates of powder particles that are sufficiently resistant to withstand handling"
"administration_dose_form","gum","A type of solid pharmaceutical dose form consisting of a basis composed of gum(s) or with a gum-like consistency."
"administration_dose_form","herbal material (unprocessed)","A type of solid pharmaceutical dose form consisting of whole, broken or fragmented plants or parts of plants (including algae, fungi, lichen) in an unprocessed state, and which may be dried or fresh. Teas, as well as preparations that are processed or formulated into capsules, granules, powders, etc., are excluded."
"administration_dose_form","implant","A type of solid pharmaceutical dose form consisting of a mass with a size and shape suitable for implantation, allowing release of active substance(s) over an extended period of time"
"administration_dose_form","impregnated material","A type of solid pharmaceutical dose form consisting of a material onto or into which active substance(s) are absorbed for subsequent release after administration, often over an extended period of time."
"administration_dose_form","insert","A type of solid pharmaceutical dose form consisting of a material of an appropriate shape and size to be placed inside an orifice of the body, and which dissolves or disintegrates over time. Pessaries and suppositories are excluded."
"administration_dose_form","lacquer","A type of liquid pharmaceutical dose form consisting of one or more substances dissolved or suspended in a volatile solvent that evaporates to leave a hard coating."
"administration_dose_form","liquid","A type of liquid pharmaceutical dose form consisting of a pure substance in a liquid state"
"administration_dose_form","lozenge","A type of solid pharmaceutical dose form consisting of a hard mass formed by moulding or compression, intended to dissolve or disintegrate slowly in the oral cavity when sucked."
"administration_dose_form","lyophilisate","A type of solid pharmaceutical dose form consisting of a powder or disc formed by freeze-drying of a liquid or semi-solid preparation. When referring to a powder, the use of this term is restricted to veterinary medicines."
